"tg","N","prob","w1","w2","w3"
"as some of",9,3.85182458790827e-06,"as","some","of"
"as someone who",8,3.42384407814068e-06,"as","someone","who"
"as soon as",86,3.68063238400123e-05,"as","soon","as"
"as the best",7,2.9958635683731e-06,"as","the","best"
"as the city",7,2.9958635683731e-06,"as","the","city"
"as the first",10,4.27980509767585e-06,"as","the","first"
"as the new",9,3.85182458790827e-06,"as","the","new"
"as the next",6,2.56788305860551e-06,"as","the","next"
"as the old",5,2.13990254883793e-06,"as","the","old"
"as the one",14,5.99172713674619e-06,"as","the","one"
"as the title",5,2.13990254883793e-06,"as","the","title"
"as the two",6,2.56788305860551e-06,"as","the","two"
"as there are",10,4.27980509767585e-06,"as","there","are"
"as there was",6,2.56788305860551e-06,"as","there","was"
"as they are",28,1.19834542734924e-05,"as","they","are"
"as they can",5,2.13990254883793e-06,"as","they","can"
"as they could",8,3.42384407814068e-06,"as","they","could"
"as they do",9,3.85182458790827e-06,"as","they","do"
"as they have",8,3.42384407814068e-06,"as","they","have"
"as they say",6,2.56788305860551e-06,"as","they","say"
"as they were",8,3.42384407814068e-06,"as","they","were"
"as they would",7,2.9958635683731e-06,"as","they","would"
"as those who",8,3.42384407814068e-06,"as","those","who"
"as though the",5,2.13990254883793e-06,"as","though","the"
"as though they",7,2.9958635683731e-06,"as","though","they"
"as time goes",5,2.13990254883793e-06,"as","time","goes"
"as to how",5,2.13990254883793e-06,"as","to","how"
"as to the",5,2.13990254883793e-06,"as","to","the"
"as to what",11,4.70778560744344e-06,"as","to","what"
"as to whether",8,3.42384407814068e-06,"as","to","whether"
"as to why",8,3.42384407814068e-06,"as","to","why"
"as usual i",6,2.56788305860551e-06,"as","usual","i"
"as we are",13,5.56374662697861e-06,"as","we","are"
"as we can",6,2.56788305860551e-06,"as","we","can"
"as we did",6,2.56788305860551e-06,"as","we","did"
"as we dont",5,2.13990254883793e-06,"as","we","dont"
"as we get",6,2.56788305860551e-06,"as","we","get"
"as we have",8,3.42384407814068e-06,"as","we","have"
"as we head",8,3.42384407814068e-06,"as","we","head"
"as we speak",10,4.27980509767585e-06,"as","we","speak"
"as we were",9,3.85182458790827e-06,"as","we","were"
"as well a",9,3.85182458790827e-06,"as","well","a"
"as well and",16,6.84768815628136e-06,"as","well","and"
"as well as",317,0.000135669821596324,"as","well","as"
"as well be",6,2.56788305860551e-06,"as","well","be"
"as well but",11,4.70778560744344e-06,"as","well","but"
"as well have",5,2.13990254883793e-06,"as","well","have"
"as well he",8,3.42384407814068e-06,"as","well","he"
"as well i",17,7.27566866604895e-06,"as","well","i"
"as well so",7,2.9958635683731e-06,"as","well","so"
"as well the",23,9.84355172465446e-06,"as","well","the"
"as well this",6,2.56788305860551e-06,"as","well","this"
"as well we",5,2.13990254883793e-06,"as","well","we"
"as with the",6,2.56788305860551e-06,"as","with","the"
"as you all",5,2.13990254883793e-06,"as","you","all"
"as you are",13,5.56374662697861e-06,"as","you","are"
"as you can",43,1.84031619200062e-05,"as","you","can"
"as you dont",6,2.56788305860551e-06,"as","you","dont"
"as you get",5,2.13990254883793e-06,"as","you","get"
"as you know",8,3.42384407814068e-06,"as","you","know"
"as you like",8,3.42384407814068e-06,"as","you","like"
"as you may",8,3.42384407814068e-06,"as","you","may"
"as you might",6,2.56788305860551e-06,"as","you","might"
"as you see",5,2.13990254883793e-06,"as","you","see"
"as you think",5,2.13990254883793e-06,"as","you","think"
"aside from the",5,2.13990254883793e-06,"aside","from","the"
"ask for a",9,3.85182458790827e-06,"ask","for","a"
"ask for more",6,2.56788305860551e-06,"ask","for","more"
"ask god to",5,2.13990254883793e-06,"ask","god","to"
"ask him to",8,3.42384407814068e-06,"ask","him","to"
"ask me how",5,2.13990254883793e-06,"ask","me","how"
"ask me to",5,2.13990254883793e-06,"ask","me","to"
"ask them to",5,2.13990254883793e-06,"ask","them","to"
"ask you to",6,2.56788305860551e-06,"ask","you","to"
"asked about the",14,5.99172713674619e-06,"asked","about","the"
"asked for a",16,6.84768815628136e-06,"asked","for","a"
"asked for the",7,2.9958635683731e-06,"asked","for","the"
"asked her to",5,2.13990254883793e-06,"asked","her","to"
"asked him if",8,3.42384407814068e-06,"asked","him","if"
"asked him to",9,3.85182458790827e-06,"asked","him","to"
"asked if he",10,4.27980509767585e-06,"asked","if","he"
"asked if i",8,3.42384407814068e-06,"asked","if","i"
"asked me if",12,5.13576611721102e-06,"asked","me","if"
"asked me to",20,8.5596101953517e-06,"asked","me","to"
"asked not to",6,2.56788305860551e-06,"asked","not","to"
"asked them to",6,2.56788305860551e-06,"asked","them","to"
"asking for a",5,2.13990254883793e-06,"asking","for","a"
"asking them to",5,2.13990254883793e-06,"asking","them","to"
"asking you to",6,2.56788305860551e-06,"asking","you","to"
"aspect of the",11,4.70778560744344e-06,"aspect","of","the"
"aspects of the",10,4.27980509767585e-06,"aspects","of","the"
"assault with a",6,2.56788305860551e-06,"assault","with","a"
"assigned to the",10,4.27980509767585e-06,"assigned","to","the"
"assistant attorney general",5,2.13990254883793e-06,"assistant","attorney","general"
"associate professor of",5,2.13990254883793e-06,"associate","professor","of"
"associated with a",5,2.13990254883793e-06,"associated","with","a"
"associated with the",12,5.13576611721102e-06,"associated","with","the"
"associates programmes designed",8,3.42384407814068e-06,"associates","programmes","designed"
"at a and",7,2.9958635683731e-06,"at","a","and"
"at a at",6,2.56788305860551e-06,"at","a","at"
"at a cost",7,2.9958635683731e-06,"at","a","cost"
"at a high",5,2.13990254883793e-06,"at","a","high"
"at a home",5,2.13990254883793e-06,"at","a","home"
"at a hospital",6,2.56788305860551e-06,"at","a","hospital"
"at a hotel",7,2.9958635683731e-06,"at","a","hotel"
"at a local",8,3.42384407814068e-06,"at","a","local"
"at a nearby",5,2.13990254883793e-06,"at","a","nearby"
"at a new",7,2.9958635683731e-06,"at","a","new"
"at a news",7,2.9958635683731e-06,"at","a","news"
"at a party",8,3.42384407814068e-06,"at","a","party"
"at a time",89,3.80902653693151e-05,"at","a","time"
"at a wednesday",5,2.13990254883793e-06,"at","a","wednesday"
"at a young",8,3.42384407814068e-06,"at","a","young"
"at about a",7,2.9958635683731e-06,"at","about","a"
"at about m",12,5.13576611721102e-06,"at","about","m"
"at all and",13,5.56374662697861e-06,"at","all","and"
"at all but",13,5.56374662697861e-06,"at","all","but"
"at all i",12,5.13576611721102e-06,"at","all","i"
"at all in",7,2.9958635683731e-06,"at","all","in"
"at all just",5,2.13990254883793e-06,"at","all","just"
"at all of",5,2.13990254883793e-06,"at","all","of"
"at all on",5,2.13990254883793e-06,"at","all","on"
"at all the",18,7.70364917581653e-06,"at","all","the"
"at all this",7,2.9958635683731e-06,"at","all","this"
"at all times",14,5.99172713674619e-06,"at","all","times"
"at am for",5,2.13990254883793e-06,"at","am","for"
"at am on",6,2.56788305860551e-06,"at","am","on"
"at am to",8,3.42384407814068e-06,"at","am","to"
"at any moment",6,2.56788305860551e-06,"at","any","moment"
"at any time",22,9.41557121488687e-06,"at","any","time"
"at barnes and",5,2.13990254883793e-06,"at","barnes","and"
"at city hall",6,2.56788305860551e-06,"at","city","hall"
"at different times",7,2.9958635683731e-06,"at","different","times"
"at each other",15,6.41970764651378e-06,"at","each","other"
"at every level",5,2.13990254883793e-06,"at","every","level"
"at first but",17,7.27566866604895e-06,"at","first","but"
"at first glance",5,2.13990254883793e-06,"at","first","glance"
"at first i",16,6.84768815628136e-06,"at","first","i"
"at first sight",6,2.56788305860551e-06,"at","first","sight"
"at for a",7,2.9958635683731e-06,"at","for","a"
"at her house",6,2.56788305860551e-06,"at","her","house"
"at him and",8,3.42384407814068e-06,"at","him","and"
"at home and",21,8.98759070511929e-06,"at","home","and"
"at home i",7,2.9958635683731e-06,"at","home","i"
"at home in",9,3.85182458790827e-06,"at","home","in"
"at home to",10,4.27980509767585e-06,"at","home","to"
"at home with",10,4.27980509767585e-06,"at","home","with"
"at how much",6,2.56788305860551e-06,"at","how","much"
"at in the",20,8.5596101953517e-06,"at","in","the"
"at it as",9,3.85182458790827e-06,"at","it","as"
"at it the",6,2.56788305860551e-06,"at","it","the"
"at its best",6,2.56788305860551e-06,"at","its","best"
"at its peak",5,2.13990254883793e-06,"at","its","peak"
"at least a",30,1.28394152930276e-05,"at","least","a"
"at least as",10,4.27980509767585e-06,"at","least","as"
"at least eight",5,2.13990254883793e-06,"at","least","eight"
"at least five",7,2.9958635683731e-06,"at","least","five"
"at least for",9,3.85182458790827e-06,"at","least","for"
"at least four",10,4.27980509767585e-06,"at","least","four"
"at least half",6,2.56788305860551e-06,"at","least","half"
"at least hours",5,2.13990254883793e-06,"at","least","hours"
"at least i",32,1.36953763125627e-05,"at","least","i"
"at least im",5,2.13990254883793e-06,"at","least","im"
"at least in",21,8.98759070511929e-06,"at","least","in"
"at least it",19,8.13162968558412e-06,"at","least","it"
"at least its",6,2.56788305860551e-06,"at","least","its"
"at least million",9,3.85182458790827e-06,"at","least","million"
"at least minutes",7,2.9958635683731e-06,"at","least","minutes"
"at least not",9,3.85182458790827e-06,"at","least","not"
"at least once",18,7.70364917581653e-06,"at","least","once"
"at least one",51,2.18270059981468e-05,"at","least","one"
"at least percent",7,2.9958635683731e-06,"at","least","percent"
"at least some",11,4.70778560744344e-06,"at","least","some"
"at least that",7,2.9958635683731e-06,"at","least","that"
"at least the",23,9.84355172465446e-06,"at","least","the"
"at least three",17,7.27566866604895e-06,"at","least","three"
"at least times",6,2.56788305860551e-06,"at","least","times"
"at least to",7,2.9958635683731e-06,"at","least","to"
"at least two",19,8.13162968558412e-06,"at","least","two"
"at least years",12,5.13576611721102e-06,"at","least","years"
"at least you",22,9.41557121488687e-06,"at","least","you"
"at m and",5,2.13990254883793e-06,"at","m","and"
"at m april",5,2.13990254883793e-06,"at","m","april"
"at m at",7,2.9958635683731e-06,"at","m","at"
"at m friday",6,2.56788305860551e-06,"at","m","friday"
"at m saturday",7,2.9958635683731e-06,"at","m","saturday"
"at madison square",5,2.13990254883793e-06,"at","madison","square"
"at me and",13,5.56374662697861e-06,"at","me","and"
"at me like",14,5.99172713674619e-06,"at","me","like"
"at me with",6,2.56788305860551e-06,"at","me","with"
"at more than",6,2.56788305860551e-06,"at","more","than"
"at my desk",7,2.9958635683731e-06,"at","my","desk"
"at my house",15,6.41970764651378e-06,"at","my","house"
"at my new",5,2.13990254883793e-06,"at","my","new"
"at my own",5,2.13990254883793e-06,"at","my","own"
"at new york",8,3.42384407814068e-06,"at","new","york"
"at night and",9,3.85182458790827e-06,"at","night","and"
"at odds with",5,2.13990254883793e-06,"at","odds","with"
"at of the",5,2.13990254883793e-06,"at","of","the"
"at one of",18,7.70364917581653e-06,"at","one","of"
"at one point",45,1.92591229395413e-05,"at","one","point"
"at one time",9,3.85182458790827e-06,"at","one","time"
"at our house",5,2.13990254883793e-06,"at","our","house"
"at percent and",5,2.13990254883793e-06,"at","percent","and"
"at pm and",12,5.13576611721102e-06,"at","pm","and"
"at pm est",6,2.56788305860551e-06,"at","pm","est"
"at pm for",8,3.42384407814068e-06,"at","pm","for"
"at pm i",5,2.13990254883793e-06,"at","pm","i"
"at pm on",9,3.85182458790827e-06,"at","pm","on"
"at pm the",7,2.9958635683731e-06,"at","pm","the"
"at pm today",5,2.13990254883793e-06,"at","pm","today"
"at risk of",6,2.56788305860551e-06,"at","risk","of"
"at room temperature",8,3.42384407814068e-06,"at","room","temperature"
"at some of",9,3.85182458790827e-06,"at","some","of"
"at some point",41,1.7547200900471e-05,"at","some","point"
"at some time",5,2.13990254883793e-06,"at","some","time"
"at st louis",6,2.56788305860551e-06,"at","st","louis"
"at such a",7,2.9958635683731e-06,"at","such","a"
"at th and",6,2.56788305860551e-06,"at","th","and"
"at th st",5,2.13990254883793e-06,"at","th","st"
"at th street",6,2.56788305860551e-06,"at","th","street"
"at that moment",12,5.13576611721102e-06,"at","that","moment"
"at that point",23,9.84355172465446e-06,"at","that","point"
"at that time",18,7.70364917581653e-06,"at","that","time"
"at the age",24,1.0271532234422e-05,"at","the","age"
"at the airport",15,6.41970764651378e-06,"at","the","airport"
"at the american",5,2.13990254883793e-06,"at","the","american"
"at the back",16,6.84768815628136e-06,"at","the","back"
"at the ballpark",5,2.13990254883793e-06,"at","the","ballpark"
"at the bar",11,4.70778560744344e-06,"at","the","bar"
"at the base",6,2.56788305860551e-06,"at","the","base"
"at the beach",6,2.56788305860551e-06,"at","the","beach"
"at the beginning",33,1.41233568223303e-05,"at","the","beginning"
"at the best",7,2.9958635683731e-06,"at","the","best"
"at the big",7,2.9958635683731e-06,"at","the","big"
"at the bottom",24,1.0271532234422e-05,"at","the","bottom"
"at the center",17,7.27566866604895e-06,"at","the","center"
"at the cleveland",5,2.13990254883793e-06,"at","the","cleveland"
"at the club",7,2.9958635683731e-06,"at","the","club"
"at the conference",5,2.13990254883793e-06,"at","the","conference"
"at the core",7,2.9958635683731e-06,"at","the","core"
"at the corner",9,3.85182458790827e-06,"at","the","corner"
"at the door",17,7.27566866604895e-06,"at","the","door"
"at the edge",11,4.70778560744344e-06,"at","the","edge"
"at the end",182,7.78924527777005e-05,"at","the","end"
"at the entrance",5,2.13990254883793e-06,"at","the","entrance"
"at the event",10,4.27980509767585e-06,"at","the","event"
"at the expense",11,4.70778560744344e-06,"at","the","expense"
"at the farm",7,2.9958635683731e-06,"at","the","farm"
"at the federal",6,2.56788305860551e-06,"at","the","federal"
"at the festival",9,3.85182458790827e-06,"at","the","festival"
"at the finish",5,2.13990254883793e-06,"at","the","finish"
"at the first",13,5.56374662697861e-06,"at","the","first"
"at the foot",6,2.56788305860551e-06,"at","the","foot"
"at the front",14,5.99172713674619e-06,"at","the","front"
"at the garden",7,2.9958635683731e-06,"at","the","garden"
"at the grocery",6,2.56788305860551e-06,"at","the","grocery"
"at the gym",17,7.27566866604895e-06,"at","the","gym"
"at the half",6,2.56788305860551e-06,"at","the","half"
"at the hands",5,2.13990254883793e-06,"at","the","hands"
"at the heart",11,4.70778560744344e-06,"at","the","heart"
"at the height",9,3.85182458790827e-06,"at","the","height"
"at the helm",5,2.13990254883793e-06,"at","the","helm"
"at the high",10,4.27980509767585e-06,"at","the","high"
"at the hilton",5,2.13990254883793e-06,"at","the","hilton"
"at the home",8,3.42384407814068e-06,"at","the","home"
"at the hospital",20,8.5596101953517e-06,"at","the","hospital"
"at the hotel",5,2.13990254883793e-06,"at","the","hotel"
"at the house",7,2.9958635683731e-06,"at","the","house"
"at the intersection",9,3.85182458790827e-06,"at","the","intersection"
"at the last",13,5.56374662697861e-06,"at","the","last"
"at the library",14,5.99172713674619e-06,"at","the","library"
"at the line",5,2.13990254883793e-06,"at","the","line"
"at the local",6,2.56788305860551e-06,"at","the","local"
"at the mall",13,5.56374662697861e-06,"at","the","mall"
"at the market",9,3.85182458790827e-06,"at","the","market"
"at the masters",5,2.13990254883793e-06,"at","the","masters"
"at the meeting",7,2.9958635683731e-06,"at","the","meeting"
"at the mercy",5,2.13990254883793e-06,"at","the","mercy"
"at the moment",56,2.39669085469848e-05,"at","the","moment"
"at the most",7,2.9958635683731e-06,"at","the","most"
"at the national",9,3.85182458790827e-06,"at","the","national"
"at the new",14,5.99172713674619e-06,"at","the","new"
"at the next",19,8.13162968558412e-06,"at","the","next"
"at the north",6,2.56788305860551e-06,"at","the","north"
"at the office",11,4.70778560744344e-06,"at","the","office"
"at the old",5,2.13990254883793e-06,"at","the","old"
"at the outset",6,2.56788305860551e-06,"at","the","outset"
"at the park",10,4.27980509767585e-06,"at","the","park"
"at the party",5,2.13990254883793e-06,"at","the","party"
"at the plant",6,2.56788305860551e-06,"at","the","plant"
"at the plate",9,3.85182458790827e-06,"at","the","plate"
"at the point",9,3.85182458790827e-06,"at","the","point"
"at the prospect",5,2.13990254883793e-06,"at","the","prospect"
"at the public",5,2.13990254883793e-06,"at","the","public"
"at the request",6,2.56788305860551e-06,"at","the","request"
"at the right",10,4.27980509767585e-06,"at","the","right"
"at the rock",7,2.9958635683731e-06,"at","the","rock"
"at the rose",5,2.13990254883793e-06,"at","the","rose"
"at the same",135,5.7777368818624e-05,"at","the","same"
"at the scene",17,7.27566866604895e-06,"at","the","scene"
"at the school",14,5.99172713674619e-06,"at","the","school"
"at the shop",6,2.56788305860551e-06,"at","the","shop"
"at the show",14,5.99172713674619e-06,"at","the","show"
"at the site",6,2.56788305860551e-06,"at","the","site"
"at the stadium",5,2.13990254883793e-06,"at","the","stadium"
"at the start",24,1.0271532234422e-05,"at","the","start"
"at the state",14,5.99172713674619e-06,"at","the","state"
"at the store",10,4.27980509767585e-06,"at","the","store"
"at the table",17,7.27566866604895e-06,"at","the","table"
"at the th",6,2.56788305860551e-06,"at","the","th"
"at the thought",8,3.42384407814068e-06,"at","the","thought"
"at the time",146,6.24851544260674e-05,"at","the","time"
"at the top",40,1.71192203907034e-05,"at","the","top"
"at the trial",5,2.13990254883793e-06,"at","the","trial"
"at the university",48,2.05430644688441e-05,"at","the","university"
"at the very",21,8.98759070511929e-06,"at","the","very"
"at the white",8,3.42384407814068e-06,"at","the","white"
"at the world",10,4.27980509767585e-06,"at","the","world"
"at the zoo",7,2.9958635683731e-06,"at","the","zoo"
"at third base",6,2.56788305860551e-06,"at","third","base"
"at this hour",5,2.13990254883793e-06,"at","this","hour"
"at this level",6,2.56788305860551e-06,"at","this","level"
"at this moment",12,5.13576611721102e-06,"at","this","moment"
"at this point",75,3.20985382325689e-05,"at","this","point"
"at this rate",5,2.13990254883793e-06,"at","this","rate"
"at this stage",7,2.9958635683731e-06,"at","this","stage"
"at this time",28,1.19834542734924e-05,"at","this","time"
"at this years",5,2.13990254883793e-06,"at","this","years"
"at times he",5,2.13990254883793e-06,"at","times","he"
"at war with",5,2.13990254883793e-06,"at","war","with"
"at what point",7,2.9958635683731e-06,"at","what","point"
"at which point",6,2.56788305860551e-06,"at","which","point"
"at work and",16,6.84768815628136e-06,"at","work","and"
"at work in",8,3.42384407814068e-06,"at","work","in"
"at work today",8,3.42384407814068e-06,"at","work","today"
"at your house",5,2.13990254883793e-06,"at","your","house"
"at your local",6,2.56788305860551e-06,"at","your","local"
"atlanta journal constitution",6,2.56788305860551e-06,"atlanta","journal","constitution"
"attached to the",11,4.70778560744344e-06,"attached","to","the"
"attack on the",7,2.9958635683731e-06,"attack","on","the"
"attention to detail",8,3.42384407814068e-06,"attention","to","detail"
"attention to the",22,9.41557121488687e-06,"attention","to","the"
"attorney general in",6,2.56788305860551e-06,"attorney","general","in"
"attorney generals office",12,5.13576611721102e-06,"attorney","generals","office"
"author of the",24,1.0271532234422e-05,"author","of","the"
"available at the",7,2.9958635683731e-06,"available","at","the"
"available in the",9,3.85182458790827e-06,"available","in","the"
"available on the",6,2.56788305860551e-06,"available","on","the"
"available to the",9,3.85182458790827e-06,"available","to","the"
"averaging points and",6,2.56788305860551e-06,"averaging","points","and"
"averaging points rebounds",5,2.13990254883793e-06,"averaging","points","rebounds"
"award for best",9,3.85182458790827e-06,"award","for","best"
"aware of the",27,1.15554737637248e-05,"aware","of","the"
"awareness of the",6,2.56788305860551e-06,"awareness","of","the"
"away and the",6,2.56788305860551e-06,"away","and","the"
"away for the",6,2.56788305860551e-06,"away","for","the"
"away from her",6,2.56788305860551e-06,"away","from","her"
"away from him",5,2.13990254883793e-06,"away","from","him"
"away from home",12,5.13576611721102e-06,"away","from","home"
"away from it",5,2.13990254883793e-06,"away","from","it"
"away from me",9,3.85182458790827e-06,"away","from","me"
"away from my",5,2.13990254883793e-06,"away","from","my"
"away from our",5,2.13990254883793e-06,"away","from","our"
"away from that",5,2.13990254883793e-06,"away","from","that"
"away from the",83,3.55223823107096e-05,"away","from","the"
"away from their",6,2.56788305860551e-06,"away","from","their"
"away from this",6,2.56788305860551e-06,"away","from","this"
"away from you",6,2.56788305860551e-06,"away","from","you"
"away in a",7,2.9958635683731e-06,"away","in","a"
"away in the",7,2.9958635683731e-06,"away","in","the"
"away with a",8,3.42384407814068e-06,"away","with","a"
"away with the",6,2.56788305860551e-06,"away","with","the"
"awful lot of",5,2.13990254883793e-06,"awful","lot","of"
"awkward moment when",27,1.15554737637248e-05,"awkward","moment","when"
"aww thank you",5,2.13990254883793e-06,"aww","thank","you"
"back and forth",43,1.84031619200062e-05,"back","and","forth"
"back and get",5,2.13990254883793e-06,"back","and","get"
"back at me",5,2.13990254883793e-06,"back","at","me"
"back at the",20,8.5596101953517e-06,"back","at","the"
"back at ya",5,2.13990254883793e-06,"back","at","ya"
"back at you",10,4.27980509767585e-06,"back","at","you"
"back but i",5,2.13990254883793e-06,"back","but","i"
"back for a",5,2.13990254883793e-06,"back","for","a"
"back for the",8,3.42384407814068e-06,"back","for","the"
"back from a",12,5.13576611721102e-06,"back","from","a"
"back from my",5,2.13990254883793e-06,"back","from","my"
"back from the",15,6.41970764651378e-06,"back","from","the"
"back home and",5,2.13990254883793e-06,"back","home","and"
"back home to",5,2.13990254883793e-06,"back","home","to"
"back i am",5,2.13990254883793e-06,"back","i","am"
"back i have",6,2.56788305860551e-06,"back","i","have"
"back i think",5,2.13990254883793e-06,"back","i","think"
"back i was",6,2.56788305860551e-06,"back","i","was"
"back in and",8,3.42384407814068e-06,"back","in","and"
"back in my",9,3.85182458790827e-06,"back","in","my"
"back in the",73,3.12425772130337e-05,"back","in","the"
"back in time",11,4.70778560744344e-06,"back","in","time"
"back in town",7,2.9958635683731e-06,"back","in","town"
"back into my",5,2.13990254883793e-06,"back","into","my"
"back into the",33,1.41233568223303e-05,"back","into","the"
"back of a",6,2.56788305860551e-06,"back","of","a"
"back of his",5,2.13990254883793e-06,"back","of","his"
"back of my",6,2.56788305860551e-06,"back","of","my"
"back of the",37,1.58352788614007e-05,"back","of","the"
"back of your",5,2.13990254883793e-06,"back","of","your"
"back on it",5,2.13990254883793e-06,"back","on","it"
"back on the",42,1.79751814102386e-05,"back","on","the"
"back on top",7,2.9958635683731e-06,"back","on","top"
"back on track",11,4.70778560744344e-06,"back","on","track"
"back on twitter",9,3.85182458790827e-06,"back","on","twitter"
"back out to",5,2.13990254883793e-06,"back","out","to"
"back to a",13,5.56374662697861e-06,"back","to","a"
"back to back",26,1.11274932539572e-05,"back","to","back"
"back to bed",6,2.56788305860551e-06,"back","to","bed"
"back to her",7,2.9958635683731e-06,"back","to","her"
"back to his",6,2.56788305860551e-06,"back","to","his"
"back to it",7,2.9958635683731e-06,"back","to","it"
"back to life",5,2.13990254883793e-06,"back","to","life"
"back to me",13,5.56374662697861e-06,"back","to","me"
"back to my",21,8.98759070511929e-06,"back","to","my"
"back to normal",10,4.27980509767585e-06,"back","to","normal"
"back to our",6,2.56788305860551e-06,"back","to","our"
"back to school",24,1.0271532234422e-05,"back","to","school"
"back to sleep",10,4.27980509767585e-06,"back","to","sleep"
"back to that",8,3.42384407814068e-06,"back","to","that"
"back to the",164,7.0188803601884e-05,"back","to","the"
"back to their",7,2.9958635683731e-06,"back","to","their"
"back to work",27,1.15554737637248e-05,"back","to","work"
"back to you",14,5.99172713674619e-06,"back","to","you"
"back together and",5,2.13990254883793e-06,"back","together","and"
"back up and",11,4.70778560744344e-06,"back","up","and"
"back up the",5,2.13990254883793e-06,"back","up","the"
"back up to",5,2.13990254883793e-06,"back","up","to"
"back when i",7,2.9958635683731e-06,"back","when","i"
"back with a",10,4.27980509767585e-06,"back","with","a"
"back with the",5,2.13990254883793e-06,"back","with","the"
"bad for a",5,2.13990254883793e-06,"bad","for","a"
"bad for the",6,2.56788305860551e-06,"bad","for","the"
"bad for you",6,2.56788305860551e-06,"bad","for","you"
"bad news for",5,2.13990254883793e-06,"bad","news","for"
"bag full of",5,2.13990254883793e-06,"bag","full","of"
"bake at degrees",6,2.56788305860551e-06,"bake","at","degrees"
"bake for minutes",6,2.56788305860551e-06,"bake","for","minutes"
"baking soda and",5,2.13990254883793e-06,"baking","soda","and"
"ball in the",6,2.56788305860551e-06,"ball","in","the"
"ball to the",5,2.13990254883793e-06,"ball","to","the"
"band of misfits",5,2.13990254883793e-06,"band","of","misfits"
"bank of america",10,4.27980509767585e-06,"bank","of","america"
"bar and grill",11,4.70778560744344e-06,"bar","and","grill"
"barack obama and",6,2.56788305860551e-06,"barack","obama","and"
"barnes and noble",16,6.84768815628136e-06,"barnes","and","noble"
"base in the",6,2.56788305860551e-06,"base","in","the"
"base of the",7,2.9958635683731e-06,"base","of","the"
"based on a",17,7.27566866604895e-06,"based","on","a"
"based on how",6,2.56788305860551e-06,"based","on","how"
"based on the",39,1.66912398809358e-05,"based","on","the"
"based on what",13,5.56374662697861e-06,"based","on","what"
"battle of the",7,2.9958635683731e-06,"battle","of","the"
"bc of the",5,2.13990254883793e-06,"bc","of","the"
"be a better",16,6.84768815628136e-06,"be","a","better"
"be a big",10,4.27980509767585e-06,"be","a","big"
"be a bit",22,9.41557121488687e-06,"be","a","bit"
"be a challenge",5,2.13990254883793e-06,"be","a","challenge"
"be a crazy",5,2.13990254883793e-06,"be","a","crazy"
"be a fun",5,2.13990254883793e-06,"be","a","fun"
"be a game",7,2.9958635683731e-06,"be","a","game"
"be a good",67,2.86746941544282e-05,"be","a","good"
"be a great",44,1.88311424297737e-05,"be","a","great"
"be a guest",5,2.13990254883793e-06,"be","a","guest"
"be a late",6,2.56788305860551e-06,"be","a","late"
"be a little",16,6.84768815628136e-06,"be","a","little"
"be a long",25,1.06995127441896e-05,"be","a","long"
"be a lot",13,5.56374662697861e-06,"be","a","lot"
"be a major",6,2.56788305860551e-06,"be","a","major"
"be a much",5,2.13990254883793e-06,"be","a","much"
"be a part",21,8.98759070511929e-06,"be","a","part"
"be a problem",5,2.13990254883793e-06,"be","a","problem"
"be a real",9,3.85182458790827e-06,"be","a","real"
"be a role",6,2.56788305860551e-06,"be","a","role"
"be a very",17,7.27566866604895e-06,"be","a","very"
"be a wild",5,2.13990254883793e-06,"be","a","wild"
"be able to",295,0.000126254250381438,"be","able","to"
"be affected by",6,2.56788305860551e-06,"be","affected","by"
"be afraid of",8,3.42384407814068e-06,"be","afraid","of"
"be afraid to",5,2.13990254883793e-06,"be","afraid","to"
"be allowed to",27,1.15554737637248e-05,"be","allowed","to"
"be among the",8,3.42384407814068e-06,"be","among","the"
"be an issue",7,2.9958635683731e-06,"be","an","issue"
"be and i",5,2.13990254883793e-06,"be","and","i"
"be at a",7,2.9958635683731e-06,"be","at","a"
"be at least",10,4.27980509767585e-06,"be","at","least"
"be at the",31,1.32673958027951e-05,"be","at","the"
"be at work",6,2.56788305860551e-06,"be","at","work"
"be available at",8,3.42384407814068e-06,"be","available","at"
"be available for",5,2.13990254883793e-06,"be","available","for"
"be available to",11,4.70778560744344e-06,"be","available","to"
"be aware of",8,3.42384407814068e-06,"be","aware","of"
"be aware that",5,2.13990254883793e-06,"be","aware","that"
"be back for",5,2.13990254883793e-06,"be","back","for"
"be back in",20,8.5596101953517e-06,"be","back","in"
"be back on",7,2.9958635683731e-06,"be","back","on"
"be back to",6,2.56788305860551e-06,"be","back","to"
"be based on",8,3.42384407814068e-06,"be","based","on"
"be better off",12,5.13576611721102e-06,"be","better","off"
"be better than",12,5.13576611721102e-06,"be","better","than"
"be bothered to",5,2.13990254883793e-06,"be","bothered","to"
"be called a",5,2.13990254883793e-06,"be","called","a"
"be called the",5,2.13990254883793e-06,"be","called","the"
"be careful not",5,2.13990254883793e-06,"be","careful","not"
"be close to",5,2.13990254883793e-06,"be","close","to"
"be coming out",5,2.13990254883793e-06,"be","coming","out"
"be coming to",5,2.13990254883793e-06,"be","coming","to"
"be completed in",5,2.13990254883793e-06,"be","completed","in"
"be considered a",10,4.27980509767585e-06,"be","considered","a"
"be dealt with",5,2.13990254883793e-06,"be","dealt","with"
"be described as",6,2.56788305860551e-06,"be","described","as"
"be doing a",8,3.42384407814068e-06,"be","doing","a"
